avg,evals,gen,max,min,std
11.5116,500,54,25.6,0.0,7.35963758890341
11.647599999999999,500,55,28.8,0.0,7.097507607604235
12.288400000000001,500,56,27.0,0.0,7.705371207151541
12.058,500,57,28.8,0.0,8.689915764839151
12.013599999999999,500,58,30.6,0.0,9.586689472388265
12.515600000000001,500,59,29.6,0.0,10.177370811756838
13.6176,500,60,31.6,0.0,10.065585439506238
14.4424,500,61,31.8,0.0,9.770967313423988
13.9568,500,62,30.2,0.0,9.952803311630348
14.6,500,63,32.2,0.0,9.962690399686222
14.9812,500,64,30.4,0.0,9.822930650269297
14.499600000000001,500,65,31.4,0.0,10.034990774285745
15.5652,500,66,31.6,0.0,9.849986241614758
16.6328,500,67,33.8,0.0,10.410781150326809
16.9384,500,68,32.6,0.0,10.572986590363199
17.757600000000004,500,69,30.8,0.0,10.317525005542754
18.7428,500,70,33.0,0.0,10.020579232758953
17.5424,500,71,32.2,0.0,10.475130655032423
17.8104,500,72,33.4,0.0,10.379605572467579
17.814799999999998,500,73,34.0,0.0,10.668084221639798
17.857200000000002,500,74,31.4,0.0,10.3985464445758
17.717599999999997,500,75,33.2,0.0,10.501493714705541
16.834,500,76,32.6,0.0,10.597413080558859
17.4324,500,77,33.0,0.0,10.713639448852103
17.970800000000004,500,78,32.0,0.0,10.466328265442469
17.008,500,79,31.8,0.0,10.865980673643774
17.174,500,80,32.0,0.0,10.515073180915099
17.93,500,81,32.8,0.0,10.483418335638428
17.706,500,82,31.4,0.0,10.34567561834412
18.416400000000003,500,83,34.0,0.0,10.416109208336865
17.78,500,84,32.2,0.0,10.479064843773036
17.998,500,85,32.2,0.0,10.421865284103417
16.7,500,86,31.2,0.0,11.185429808460649
17.819599999999998,500,87,32.8,0.0,10.557007901863104
17.640400000000003,500,88,31.6,0.0,10.541190058053218
17.564,500,89,31.2,0.0,10.497953324338988
18.3704,500,90,31.4,0.0,10.213399230422748
17.504,500,91,30.8,0.0,10.676729087131507
17.858,500,92,31.6,0.0,10.534632219493949
18.197599999999998,500,93,31.8,0.0,9.850514414993766
16.623199999999997,500,94,32.2,0.0,10.804966532109203
17.0172,500,95,31.2,0.0,10.66702320987444
17.7816,500,96,31.4,0.0,10.516120075389022
16.5716,500,97,35.2,0.0,11.02748899069956
16.8568,500,98,32.4,0.0,11.170732015405257
17.182800000000004,500,99,31.2,0.0,10.645462139334299
16.962,500,100,33.8,0.0,10.805764942844167
18.6016,500,101,32.2,0.0,10.402576480853194
17.4724,500,102,32.2,0.0,10.709560132890612
16.7136,500,103,31.4,0.0,10.813216683300118
16.804,500,104,36.6,0.0,11.020554613992891
16.6296,500,105,33.4,0.0,10.962623948672142
16.678,500,106,31.4,0.0,11.06503303203384
17.491600000000002,500,107,32.6,0.0,10.381283612347753
16.563599999999997,500,108,33.0,0.0,11.021827209678076
17.7628,500,109,32.6,0.0,10.503918133725149
17.3028,500,110,31.8,0.0,10.735216446816525
17.39,500,111,32.4,0.0,10.694895043898281
17.316,500,112,31.6,0.0,10.587569315003325
17.2452,500,113,32.4,0.0,10.695806512834832
16.5464,500,114,34.2,0.0,11.05438225501543
17.5932,500,115,33.4,0.0,10.579234081917273
16.6872,500,116,31.8,0.0,10.800188709462441
16.5088,500,117,32.8,0.0,11.145043856351576
16.2804,500,118,33.0,0.0,11.205784927438149
16.3616,500,119,33.2,0.0,11.385940691923526
17.0364,500,120,31.6,0.0,11.014428493571511
16.525599999999997,500,121,31.8,0.0,11.07850823170701
15.982400000000002,500,122,30.8,0.0,11.160459230694766
16.7256,500,123,31.4,0.0,10.94171762750255
16.545600000000004,500,124,32.6,0.0,11.1179242954789
17.799599999999998,500,125,31.0,0.0,10.817190015895996
15.869200000000001,500,126,30.8,0.0,11.074175877237998
16.4144,500,127,31.8,0.0,10.884783536662546
17.0076,500,128,31.6,0.0,10.511267394562847
17.2996,500,129,33.0,0.0,10.767012577312242
15.0312,500,130,32.0,0.0,11.255042716933596
16.376,500,131,31.0,0.0,10.995652959238027
15.838,500,132,31.4,0.0,11.455007463987092
16.2468,500,133,33.4,0.0,11.223873206696519
15.9736,500,134,33.0,0.0,11.063696626354142
16.542,500,135,36.2,0.0,11.205730498276317
16.4016,500,136,34.2,0.0,11.21628804195042
17.0596,500,137,34.6,0.0,11.054384100437256
17.261200000000002,500,138,31.8,0.0,10.648636277007492
17.084,500,139,32.4,0.0,10.58153032410719
16.877599999999997,500,140,31.0,0.0,10.945971781436311
16.633200000000002,500,141,31.8,0.0,10.801841405982593
16.7164,500,142,32.2,0.0,10.97592142100152
17.2456,500,143,33.2,0.0,10.877389422099403
18.124800000000004,500,144,32.2,0.0,10.451401100330997
16.898400000000002,500,145,33.0,0.0,10.97399459813973
17.106,500,146,32.4,0.0,10.916067240540432
17.011599999999998,500,147,33.4,0.0,10.815638004297297
16.4768,500,148,33.0,0.0,11.080975668234274
16.6492,500,149,32.0,0.0,10.874655827197476
